Area Code,Date,Market,Market Size,Product,Product Line,Product Type,State,Type,Budget COGS,Budget Margin,Budget Profit,Budget Sales,COGS,Inventory,Margin,Marketing,Profit,Sales,Total Expenses,,,,
754,40909,East,Major Market,Decaf Irish Cream,Beans,Coffee,Florida,Decaf,80,110,70,190,84,500,116,26,67,672,49,,,,
954,40909,East,Major Market,Colombian,Beans,Coffee,Florida,Regular,80,110,70,190,84,651,126,27,68,672,58,,,,
863,40909,East,Major Market,Chamomile,Leaves,Herbal Tea,Florida,Decaf,30,50,30,80,48,623,62,15,34,672,28,,,,
239,40909,East,Major Market,Lemon,Leaves,Herbal Tea,Florida,Decaf,40,50,20,90,54,312,66,20,13,672,53,,,,
772,40909,East,Major Market,Mint,Leaves,Herbal Tea,Florida,Decaf,50,60,40,110,69,965,81,21,39,672,42,,,,
508,40909,East,Major Market,Darjeeling,Leaves,Tea,Massachusetts,Regular,30,50,40,80,32,821,48,8,29,672,19,,,,
781,40909,East,Major Market,Green Tea,Leaves,Tea,Massachusetts,Regular,30,50,40,80,32,456,48,8,29,672,19,,,,
978,40909,East,Major Market,Regular Espresso,Beans,Espresso,Massachusetts,Regular,160,170,110,330,170,1091,171,47,100,669,71,,,,
781,40909,East,Major Market,Caffe Mocha,Beans,Espresso,Massachusetts,Regular,60,60,-10,120,63,435,63,57,-23,669,86,,,,
413,40909,East,Major Market,Colombian,Beans,Coffee,Massachusetts,Regular,60,400,360,460,72,558,422,23,367,665,55,,,,
339,40909,East,Major Market,Lemon,Leaves,Herbal Tea,Massachusetts,Decaf,40,60,30,100,58,338,72,22,17,664,55,,,,
603,40909,East,Small Market,Darjeeling,Leaves,Tea,New Hampshire,Regular,10,30,20,40,18,821,27,5,10,664,17,,,,
603,40909,East,Small Market,Green Tea,Leaves,Tea,New Hampshire,Regular,10,30,20,40,17,777,26,4,11,664,15,,,,
603,40909,East,Small Market,Regular Espresso,Beans,Espresso,New Hampshire,Regular,20,40,0,60,29,169,36,11,-8,663,44,,,,
603,40909,East,Small Market,Caffe Mocha,Beans,Espresso,New Hampshire,Regular,30,50,0,80,37,261,53,34,-10,659,63,,,,
603,40909,East,Small Market,Amaretto,Beans,Coffee,New Hampshire,Regular,30,50,30,80,38,241,55,12,20,658,35,,,,
603,40909,East,Small Market,Colombian,Beans,Coffee,New Hampshire,Regular,40,70,40,110,48,372,72,15,25,657,47,,,,
603,40909,East,Small Market,Lemon,Leaves,Herbal Tea,New Hampshire,Decaf,20,30,0,50,34,197,42,12,-4,654,46,,,,
347,40909,East,Major Market,Darjeeling,Leaves,Tea,New York,Regular,100,150,120,250,95,821,139,26,101,653,38,,,,
646,40909,East,Major Market,Earl Grey,Leaves,Tea,New York,Regular,90,140,110,230,89,777,130,24,94,651,36,,,,
347,40909,East,Major Market,Green Tea,Leaves,Tea,New York,Regular,50,90,70,140,54,456,80,15,54,650,26,,,,
631,40909,East,Major Market,Regular Espresso,Beans,Espresso,New York,Regular,210,270,200,480,228,1459,262,63,175,650,87,,,,
315,40909,East,Major Market,Caffe Mocha,Beans,Espresso,New York,Regular,100,-50,-170,50,105,725,-44,95,-172,649,128,,,,
716,40909,East,Major Market,Colombian,Beans,Coffee,New York,Regular,260,380,260,640,271,2101,407,94,262,647,145,,,,
607,40909,East,Major Market,Lemon,Leaves,Herbal Tea,New York,Decaf,180,190,100,370,245,1419,238,93,111,645,127,,,,
845,40909,East,Major Market,Mint,Leaves,Herbal Tea,New York,Decaf,150,-10,-70,140,207,965,-27,64,-113,645,86,,,,
337,40909,South,Small Market,Caffe Mocha,Beans,Espresso,Louisiana,Regular,50,100,80,150,67,400,113,20,70,645,43,,,,
337,40909,South,Small Market,Decaf Espresso,Beans,Espresso,Louisiana,Decaf,50,70,50,120,61,390,89,19,48,643,41,,,,
337,40909,South,Small Market,Chamomile,Leaves,Herbal Tea,Louisiana,Decaf,40,60,40,100,49,623,63,16,35,638,28,,,,
504,40909,South,Small Market,Lemon,Leaves,Herbal Tea,Louisiana,Decaf,80,100,40,180,85,494,105,32,40,637,65,,,,
504,40909,South,Small Market,Caffe Latte,Beans,Espresso,Louisiana,Regular,60,90,10,150,75,522,105,68,8,637,97,,,,
225,40909,South,Small Market,Colombian,Beans,Coffee,Louisiana,Regular,40,60,50,100,34,777,51,9,30,637,21,,,,
985,40909,South,Small Market,Decaf Irish Cream,Beans,Coffee,Louisiana,Decaf,40,60,50,100,33,777,48,9,28,637,20,,,,
505,40909,South,Small Market,Caffe Mocha,Beans,Espresso,New Mexico,Regular,30,40,-10,70,37,261,53,34,-10,634,63,,,,
505,40909,South,Small Market,Decaf Espresso,Beans,Espresso,New Mexico,Decaf,30,40,10,70,35,196,47,11,9,634,38,,,,
505,40909,South,Small Market,Chamomile,Leaves,Herbal Tea,New Mexico,Decaf,10,30,20,40,18,821,27,5,11,634,16,,,,
505,40909,South,Small Market,Lemon,Leaves,Herbal Tea,New Mexico,Decaf,20,40,20,60,28,965,34,8,4,634,30,,,,
505,40909,South,Small Market,Caffe Latte,Beans,Espresso,New Mexico,Regular,20,30,0,50,29,169,36,11,-8,632,44,,,,
505,40909,South,Small Market,Colombian,Beans,Coffee,New Mexico,Regular,60,90,50,150,48,372,72,15,26,628,46,,,,
505,40909,South,Small Market,Decaf Irish Cream,Beans,Coffee,New Mexico,Decaf,110,10,-30,120,88,525,11,27,-39,628,50,,,,
405,40909,South,Small Market,Caffe Mocha,Beans,Espresso,Oklahoma,Regular,20,40,40,60,32,456,48,8,28,628,20,,,,
405,40909,South,Small Market,Decaf Espresso,Beans,Espresso,Oklahoma,Decaf,70,110,70,180,84,651,126,27,67,628,59,,,,
918,40909,South,Small Market,Chamomile,Leaves,Herbal Tea,Oklahoma,Decaf,50,60,20,110,54,312,66,20,13,628,53,,,,
580,40909,South,Small Market,Lemon,Leaves,Herbal Tea,Oklahoma,Decaf,70,110,30,180,79,551,111,72,10,628,101,,,,
405,40909,South,Small Market,Caffe Latte,Beans,Espresso,Oklahoma,Regular,70,100,70,170,84,500,116,26,66,628,50,,,,
580,40909,South,Small Market,Colombian,Beans,Coffee,Oklahoma,Regular,50,70,50,120,44,623,56,14,29,628,27,,,,
580,40909,South,Small Market,Decaf Irish Cream,Beans,Coffee,Oklahoma,Decaf,40,60,50,100,32,821,48,8,28,626,20,,,,
325,40909,South,Major Market,Caffe Mocha,Beans,Espresso,Texas,Regular,70,110,90,180,89,777,130,24,95,626,35,,,,
956,40909,South,Major Market,Decaf Espresso,Beans,Espresso,Texas,Decaf,40,70,60,110,54,456,80,15,54,626,26,,,,
281,40909,South,Major Market,Chamomile,Leaves,Herbal Tea,Texas,Decaf,50,80,50,130,60,336,80,19,33,626,47,,,,
254,40909,South,Major Market,Lemon,Leaves,Herbal Tea,Texas,Decaf,50,80,50,130,57,364,83,18,42,626,41,,,,
830,40909,South,Major Market,Caffe Latte,Beans,Espresso,Texas,Regular,60,90,50,150,72,558,108,23,53,623,55,,,,
409,40909,South,Major Market,Colombian,Beans,Coffee,Texas,Regular,260,300,220,560,207,965,245,64,159,623,86,,,,
325,40909,South,Major Market,Decaf Irish Cream,Beans,Coffee,Texas,Decaf,100,130,100,230,83,623,107,27,68,618,39,,,,
435,40909,West,Small Market,Caffe Latte,Beans,Espresso,Utah,Regular,40,60,40,100,46,777,68,12,44,616,24,,,,
435,40909,West,Small Market,Caffe Mocha,Beans,Espresso,Utah,Regular,40,60,40,100,49,623,63,16,34,614,29,,,,
435,40909,West,Small Market,Decaf Espresso,Beans,Espresso,Utah,Decaf,40,70,50,110,50,821,73,14,47,614,26,,,,
801,40909,West,Small Market,Chamomile,Leaves,Herbal Tea,Utah,Decaf,30,50,30,80,38,241,55,12,21,614,34,,,,
435,40909,West,Small Market,Lemon,Leaves,Herbal Tea,Utah,Decaf,40,60,30,100,48,372,72,15,25,614,47,,,,
435,40909,West,Small Market,Mint,Leaves,Herbal Tea,Utah,Decaf,70,10,-30,80,88,525,11,27,-40,614,51,,,,
435,40909,West,Small Market,Darjeeling,Leaves,Tea,Utah,Regular,20,40,0,60,37,261,53,34,-10,614,63,,,,
435,40909,West,Small Market,Earl Grey,Leaves,Tea,Utah,Regular,20,30,10,50,35,196,47,11,9,612,38,,,,
435,40909,West,Small Market,Green Tea,Leaves,Tea,Utah,Regular,10,30,10,40,29,169,36,11,-9,612,45,,,,
801,40909,West,Small Market,Amaretto,Beans,Coffee,Utah,Regular,90,120,80,210,78,965,92,24,47,612,45,,,,
435,40909,West,Small Market,Colombian,Beans,Coffee,Utah,Regular,60,100,70,160,55,312,75,18,30,612,45,,,,
801,40909,West,Small Market,Decaf Irish Cream,Beans,Coffee,Utah,Decaf,100,130,70,230,85,494,105,32,39,611,66,,,,
661,40909,West,Major Market,Caffe Latte,Beans,Espresso,California,Regular,210,220,150,430,228,1459,228,63,140,611,88,,,,
818,40909,West,Major Market,Caffe Mocha,Beans,Espresso,California,Regular,100,140,20,240,105,725,145,95,17,611,128,,,,
213,40909,West,Major Market,Decaf Espresso,Beans,Espresso,California,Decaf,220,300,200,520,234,1310,312,77,203,611,109,,,,
510,40909,West,Major Market,Chamomile,Leaves,Herbal Tea,California,Decaf,80,120,100,200,95,821,139,26,102,611,37,,,,
310,40909,West,Major Market,Lemon,Leaves,Herbal Tea,California,Decaf,170,220,160,390,207,965,245,64,160,607,85,,,,
707,40909,West,Major Market,Mint,Leaves,Herbal Tea,California,Decaf,70,90,60,160,83,623,107,27,67,607,40,,,,
619,40909,West,Major Market,Darjeeling,Leaves,Tea,California,Regular,50,90,80,140,89,777,130,24,94,607,36,,,,
650,40909,West,Major Market,Earl Grey,Leaves,Tea,California,Regular,30,60,60,90,54,456,80,15,54,607,26,,,,
760,40909,West,Major Market,Green Tea,Leaves,Tea,California,Regular,40,80,50,120,72,558,108,23,54,604,54,,,,
916,40909,West,Major Market,Amaretto,Beans,Coffee,California,Regular,110,70,30,180,95,608,50,30,-2,604,52,,,,
559,40909,West,Major Market,Colombian,Beans,Coffee,California,Regular,340,500,370,840,271,2101,407,94,262,604,145,,,,
650,40909,West,Major Market,Decaf Irish Cream,Beans,Coffee,California,Decaf,180,-40,-120,140,144,862,-26,47,-117,604,91,,,,
775,40909,West,Small Market,Caffe Latte,Beans,Espresso,Nevada,Regular,10,30,20,40,17,777,26,4,11,604,15,,,,
702,40909,West,Small Market,Caffe Mocha,Beans,Espresso,Nevada,Regular,10,30,20,40,18,821,27,5,10,604,17,,,,
775,40909,West,Small Market,Decaf Espresso,Beans,Espresso,Nevada,Decaf,10,30,20,40,17,777,26,4,11,603,15,,,,
775,40909,West,Small Market,Decaf Irish Cream,Beans,Coffee,Nevada,Decaf,30,40,20,70,28,965,34,8,4,602,30,,,,
702,40909,West,Small Market,Chamomile,Leaves,Herbal Tea,Nevada,Decaf,90,130,30,220,105,725,145,95,16,601,129,,,,
775,40909,West,Small Market,Lemon,Leaves,Herbal Tea,Nevada,Decaf,120,180,120,300,144,862,201,47,111,598,90,,,,
702,40909,West,Small Market,Mint,Leaves,Herbal Tea,Nevada,Decaf,80,120,90,200,95,608,139,30,86,598,53,,,,
775,40909,West,Small Market,Darjeeling,Leaves,Tea,Nevada,Regular,150,220,150,370,234,1310,312,77,203,598,109,,,,
775,40909,West,Small Market,Earl Grey,Leaves,Tea,Nevada,Regular,150,160,100,310,228,1459,228,63,141,598,87,,,,
702,40909,West,Small Market,Green Tea,Leaves,Tea,Nevada,Regular,160,-160,-240,0,245,1419,-245,93,-354,598,126,,,,
702,40909,West,Small Market,Colombian,Beans,Coffee,Nevada,Regular,40,50,10,90,34,197,42,12,-3,597,45,,,,
503,40909,West,Small Market,Caffe Latte,Beans,Espresso,Oregon,Regular,50,70,20,120,58,338,72,22,16,589,56,,,,
503,40909,West,Small Market,Caffe Mocha,Beans,Espresso,Oregon,Regular,50,80,50,130,60,336,80,19,33,589,47,,,,
971,40909,West,Small Market,Decaf Espresso,Beans,Espresso,Oregon,Decaf,160,160,100,320,170,1091,171,47,99,589,72,,,,
971,40909,West,Small Market,Decaf Irish Cream,Beans,Coffee,Oregon,Decaf,70,100,70,170,57,364,83,18,42,589,41,,,,
971,40909,West,Small Market,Chamomile,Leaves,Herbal Tea,Oregon,Decaf,30,40,40,70,36,777,54,10,33,589,21,,,,
503,40909,West,Small Market,Lemon,Leaves,Herbal Tea,Oregon,Decaf,30,50,30,80,44,623,56,14,29,587,27,,,,
971,40909,West,Small Market,Darjeeling,Leaves,Tea,Oregon,Regular,20,30,30,50,32,456,48,8,28,587,20,,,,
503,40909,West,Small Market,Earl Grey,Leaves,Tea,Oregon,Regular,50,90,60,140,84,651,126,27,68,587,58,,,,
541,40909,West,Small Market,Green Tea,Leaves,Tea,Oregon,Regular,50,80,50,130,84,500,116,26,67,587,49,,,,
541,40909,West,Small Market,Amaretto,Beans,Coffee,Oregon,Regular,70,110,40,180,63,435,87,57,1,584,86,,,,
503,40909,West,Small Market,Colombian,Beans,Coffee,Oregon,Regular,80,120,60,200,67,400,93,22,28,582,65,,,,
425,40909,West,Small Market,Caffe Latte,Beans,Espresso,Washington,Regular,40,60,40,100,48,623,62,15,35,582,27,,,,
253,40909,West,Small Market,Caffe Mocha,Beans,Espresso,Washington,Regular,50,60,20,110,54,312,66,20,13,582,53,,,,
206,40909,West,Small Market,Decaf Espresso,Beans,Espresso,Washington,Decaf,60,80,60,140,69,965,81,21,39,581,42,,,,
509,40909,West,Small Market,Decaf Irish Cream,Beans,Coffee,Washington,Decaf,90,140,60,230,79,551,111,72,9,581,102,,,,
206,40909,West,Small Market,Chamomile,Leaves,Herbal Tea,Washington,Decaf,100,170,120,270,124,961,186,40,115,581,71,,,,
360,40909,West,Small Market,Lemon,Leaves,Herbal Tea,Washington,Decaf,20,50,50,70,34,777,51,9,30,581,21,,,,
360,40909,West,Small Market,Darjeeling,Leaves,Tea,Washington,Regular,40,80,50,120,67,400,113,20,70,581,43,,,,
253,40909,West,Small Market,Earl Grey,Leaves,Tea,Washington,Regular,40,60,40,100,61,390,89,19,48,580,41,,,,
360,40909,West,Small Market,Green Tea,Leaves,Tea,Washington,Regular,40,80,20,120,75,522,105,68,8,578,97,,,,
206,40909,West,Small Market,Colombian,Beans,Coffee,Washington,Regular,60,100,70,160,53,338,77,16,38,577,39,,,,
303,40940,Central,Major Market,Amaretto,Beans,Coffee,Colorado,Regular,100,150,120,250,99,766,144,27,105,576,39,,,,
720,40940,Central,Major Market,Colombian,Beans,Coffee,Colorado,Regular,80,110,80,190,83,613,107,27,68,576,39,,,,
719,40940,Central,Major Market,Decaf Irish Cream,Beans,Coffee,Colorado,Decaf,100,140,110,240,95,809,137,26,99,576,38,,,,
970,40940,Central,Major Market,Green Tea,Leaves,Tea,Colorado,Regular,30,50,30,80,44,618,56,14,30,576,26,,,,
970,40940,Central,Major Market,Caffe Mocha,Beans,Espresso,Colorado,Regular,80,140,110,220,77,449,112,21,80,576,32,,,,
303,40940,Central,Major Market,Decaf Espresso,Beans,Espresso,Colorado,Decaf,80,140,90,220,75,549,114,24,59,576,55,,,,
970,40940,Central,Major Market,Chamomile,Leaves,Herbal Tea,Colorado,Decaf,140,150,100,290,170,1073,170,47,99,569,71,,,,
970,40940,Central,Major Market,Lemon,Leaves,Herbal Tea,Colorado,Decaf,40,70,10,110,54,427,75,49,-3,569,78,,,,
303,40940,Central,Major Market,Mint,Leaves,Herbal Tea,Colorado,Decaf,50,70,40,120,60,329,80,19,33,569,47,,,,
719,40940,Central,Major Market,Darjeeling,Leaves,Tea,Colorado,Regular,50,60,10,110,59,331,73,22,18,567,55,,,,
720,40940,Central,Major Market,Earl Grey,Leaves,Tea,Colorado,Regular,50,60,30,110,62,958,74,19,34,567,40,,,,
312,40940,Central,Major Market,Colombian,Beans,Coffee,Illinois,Regular,150,220,140,370,148,844,206,48,115,567,91,,,,
847,40940,Central,Major Market,Decaf Irish Cream,Beans,Coffee,Illinois,Decaf,110,150,100,260,104,596,150,33,95,567,55,,,,
708,40940,Central,Major Market,Caffe Mocha,Beans,Espresso,Illinois,Regular,270,370,260,640,234,1282,311,77,201,567,110,,,,
312,40940,Central,Major Market,Decaf Espresso,Beans,Espresso,Illinois,Decaf,260,270,180,530,228,1436,229,63,142,567,87,,,,
815,40940,Central,Major Market,Chamomile,Leaves,Herbal Tea,Illinois,Decaf,80,130,110,210,99,766,144,27,105,567,39,,,,
773,40940,Central,Major Market,Lemon,Leaves,Herbal Tea,Illinois,Decaf,70,90,60,160,83,613,107,27,68,567,39,,,,
847,40940,Central,Major Market,Mint,Leaves,Herbal Tea,Illinois,Decaf,80,120,100,200,95,809,137,26,99,567,38,,,,
309,40940,Central,Major Market,Darjeeling,Leaves,Tea,Illinois,Regular,60,100,80,160,77,449,112,21,79,567,33,,,,
630,40940,Central,Major Market,Earl Grey,Leaves,Tea,Illinois,Regular,60,100,50,160,75,549,114,24,59,567,55,,,,
712,40940,Central,Small Market,Amaretto,Beans,Coffee,Iowa,Regular,10,30,20,40,18,818,27,5,10,567,17,,,,
319,40940,Central,Small Market,Colombian,Beans,Coffee,Iowa,Regular,20,40,20,60,28,961,35,8,6,567,29,,,,
712,40940,Central,Small Market,Decaf Irish Cream,Beans,Coffee,Iowa,Decaf,20,30,20,50,23,620,31,7,12,567,19,,,,
319,40940,Central,Small Market,Caffe Mocha,Beans,Espresso,Iowa,Regular,20,30,20,50,19,774,28,5,11,564,17,,,,
712,40940,Central,Small Market,Decaf Espresso,Beans,Espresso,Iowa,Decaf,0,50,40,50,0,774,43,0,32,562,11,,,,
563,40940,Central,Small Market,Chamomile,Leaves,Herbal Tea,Iowa,Decaf,200,270,190,470,234,1282,311,77,201,562,110,,,,
563,40940,Central,Small Market,Lemon,Leaves,Herbal Tea,Iowa,Decaf,80,140,110,220,104,596,150,33,95,562,55,,,,
563,40940,Central,Small Market,Darjeeling,Leaves,Tea,Iowa,Regular,190,210,140,400,228,1436,229,63,141,562,88,,,,
515,40940,Central,Small Market,Earl Grey,Leaves,Tea,Iowa,Regular,200,260,150,460,240,1391,294,91,169,559,125,,,,
314,40940,Central,Small Market,Colombian,Beans,Coffee,Missouri,Regular,90,110,50,200,86,484,107,32,42,559,65,,,,
816,40940,Central,Small Market,Decaf Irish Cream,Beans,Coffee,Missouri,Decaf,70,100,60,170,75,956,90,23,46,557,44,,,,
573,40940,Central,Small Market,Green Tea,Leaves,Tea,Missouri,Regular,20,40,0,60,33,193,41,12,-4,554,45,,,,
573,40940,Central,Small Market,Caffe Mocha,Beans,Espresso,Missouri,Regular,50,90,70,140,50,814,73,14,48,554,25,,,,
